participant,session,frame_id,angle,surface,has_contact,handedness,clicked_key,depth_cam1_90_path,depth_cam2_30_path,depth_cam3_60_path,depth_depth_cam_path,rgb_cam1_90_path,rgb_cam2_30_path,rgb_cam3_60_path,rgb_depth_cam_path
P01,P01_semi_reflective_typing_133514,000028,45,semi_reflective,True,Right,,data\P01\P01_semi_reflective_typing_133514\depth_cam1_90\000028.png,data\P01\P01_semi_reflective_typing_133514\depth_cam2_30\000028.png,data\P01\P01_semi_reflective_typing_133514\depth_cam3_60\000028.png,data\P01\P01_semi_reflective_typing_133514\depth\000028.png,data\P01\P01_semi_reflective_typing_133514\rgb_cam1_90\000028.png,data\P01\P01_semi_reflective_typing_133514\rgb_cam2_30\000028.png,data\P01\P01_semi_reflective_typing_133514\rgb_cam3_60\000028.png,data\P01\P01_semi_reflective_typing_133514\rgb_depth_cam\000028.png
P01,P01_semi_reflective_typing_133514,000029,45,semi_reflective,True,Right,t,data\P01\P01_semi_reflective_typing_133514\depth_cam1_90\000029.png,data\P01\P01_semi_reflective_typing_133514\depth_cam2_30\000029.png,data\P01\P01_semi_reflective_typing_133514\depth_cam3_60\000029.png,data\P01\P01_semi_reflective_typing_133514\depth\000029.png,data\P01\P01_semi_reflective_typing_133514\rgb_cam1_90\000029.png,data\P01\P01_semi_reflective_typing_133514\rgb_cam2_30\000029.png,data\P01\P01_semi_reflective_typing_133514\rgb_cam3_60\000029.png,data\P01\P01_semi_reflective_typing_133514\rgb_depth_cam\000029.png
P01,P01_semi_reflective_typing_133514,000029,45,semi_reflective,False,Left,,data\P01\P01_semi_reflective_typing_133514\depth_cam1_90\000029.png,data\P01\P01_semi_reflective_typing_133514\depth_cam2_30\000029.png,data\P01\P01_semi_reflective_typing_133514\depth_cam3_60\000029.png,data\P01\P01_semi_reflective_typing_133514\depth\000029.png,data\P01\P01_semi_reflective_typing_133514\rgb_cam1_90\000029.png,data\P01\P01_semi_reflective_typing_133514\rgb_cam2_30\000029.png,data\P01\P01_semi_reflective_typing_133514\rgb_cam3_60\000029.png,data\P01\P01_semi_reflective_typing_133514\rgb_depth_cam\000029.png
P01,P01_semi_reflective_typing_133514,000030,45,semi_reflective,False,Left,,data\P01\P01_semi_reflective_typing_133514\depth_cam1_90\000030.png,data\P01\P01_semi_reflective_typing_133514\depth_cam2_30\000030.png,data\P01\P01_semi_reflective_typing_133514\depth_cam3_60\000030.png,data\P01\P01_semi_reflective_typing_133514\depth\000030.png,data\P01\P01_semi_reflective_typing_133514\rgb_cam1_90\000030.png,data\P01\P01_semi_reflective_typing_133514\rgb_cam2_30\000030.png,data\P01\P01_semi_reflective_typing_133514\rgb_cam3_60\000030.png,data\P01\P01_semi_reflective_typing_133514\rgb_depth_cam\000030.png
P01,P01_semi_reflective_typing_133514,000030,45,semi_reflective,True,Right,,data\P01\P01_semi_reflective_typing_133514\depth_cam1_90\000030.png,data\P01\P01_semi_reflective_typing_133514\depth_cam2_30\000030.png,data\P01\P01_semi_reflective_typing_133514\depth_cam3_60\000030.png,data\P01\P01_semi_reflective_typing_133514\depth\000030.png,data\P01\P01_semi_reflective_typing_133514\rgb_cam1_90\000030.png,data\P01\P01_semi_reflective_typing_133514\rgb_cam2_30\000030.png,data\P01\P01_semi_reflective_typing_133514\rgb_cam3_60\000030.png,data\P01\P01_semi_reflective_typing_133514\rgb_depth_cam\000030.png
P01,P01_semi_reflective_typing_133514,000031,45,semi_reflective,True,Right,4,data\P01\P01_semi_reflective_typing_133514\depth_cam1_90\000031.png,data\P01\P01_semi_reflective_typing_133514\depth_cam2_30\000031.png,data\P01\P01_semi_reflective_typing_133514\depth_cam3_60\000031.png,data\P01\P01_semi_reflective_typing_133514\depth\000031.png,data\P01\P01_semi_reflective_typing_133514\rgb_cam1_90\000031.png,data\P01\P01_semi_reflective_typing_133514\rgb_cam2_30\000031.png,data\P01\P01_semi_reflective_typing_133514\rgb_cam3_60\000031.png,data\P01\P01_semi_reflective_typing_133514\rgb_depth_cam\000031.png
P01,P01_semi_reflective_typing_133514,000031,45,semi_reflective,False,Left,,data\P01\P01_semi_reflective_typing_133514\depth_cam1_90\000031.png,data\P01\P01_semi_reflective_typing_133514\depth_cam2_30\000031.png,data\P01\P01_semi_reflective_typing_133514\depth_cam3_60\000031.png,data\P01\P01_semi_reflective_typing_133514\depth\000031.png,data\P01\P01_semi_reflective_typing_133514\rgb_cam1_90\000031.png,data\P01\P01_semi_reflective_typing_133514\rgb_cam2_30\000031.png,data\P01\P01_semi_reflective_typing_133514\rgb_cam3_60\000031.png,data\P01\P01_semi_reflective_typing_133514\rgb_depth_cam\000031.png
P01,P01_semi_reflective_typing_133514,000032,45,semi_reflective,False,Left,,data\P01\P01_semi_reflective_typing_133514\depth_cam1_90\000032.png,data\P01\P01_semi_reflective_typing_133514\depth_cam2_30\000032.png,data\P01\P01_semi_reflective_typing_133514\depth_cam3_60\000032.png,data\P01\P01_semi_reflective_typing_133514\depth\000032.png,data\P01\P01_semi_reflective_typing_133514\rgb_cam1_90\000032.png,data\P01\P01_semi_reflective_typing_133514\rgb_cam2_30\000032.png,data\P01\P01_semi_reflective_typing_133514\rgb_cam3_60\000032.png,data\P01\P01_semi_reflective_typing_133514\rgb_depth_cam\000032.png
P01,P01_semi_reflective_typing_133514,000032,45,semi_reflective,True,Right,t,data\P01\P01_semi_reflective_typing_133514\depth_cam1_90\000032.png,data\P01\P01_semi_reflective_typing_133514\depth_cam2_30\000032.png,data\P01\P01_semi_reflective_typing_133514\depth_cam3_60\000032.png,data\P01\P01_semi_reflective_typing_133514\depth\000032.png,data\P01\P01_semi_reflective_typing_133514\rgb_cam1_90\000032.png,data\P01\P01_semi_reflective_typing_133514\rgb_cam2_30\000032.png,data\P01\P01_semi_reflective_typing_133514\rgb_cam3_60\000032.png,data\P01\P01_semi_reflective_typing_133514\rgb_depth_cam\000032.png
P01,P01_semi_reflective_typing_133514,000033,45,semi_reflective,False,Left,,data\P01\P01_semi_reflective_typing_133514\depth_cam1_90\000033.png,data\P01\P01_semi_reflective_typing_133514\depth_cam2_30\000033.png,data\P01\P01_semi_reflective_typing_133514\depth_cam3_60\000033.png,data\P01\P01_semi_reflective_typing_133514\depth\000033.png,data\P01\P01_semi_reflective_typing_133514\rgb_cam1_90\000033.png,data\P01\P01_semi_reflective_typing_133514\rgb_cam2_30\000033.png,data\P01\P01_semi_reflective_typing_133514\rgb_cam3_60\000033.png,data\P01\P01_semi_reflective_typing_133514\rgb_depth_cam\000033.png
P01,P01_semi_reflective_typing_133514,000033,45,semi_reflective,True,Right,4,data\P01\P01_semi_reflective_typing_133514\depth_cam1_90\000033.png,data\P01\P01_semi_reflective_typing_133514\depth_cam2_30\000033.png,data\P01\P01_semi_reflective_typing_133514\depth_cam3_60\000033.png,data\P01\P01_semi_reflective_typing_133514\depth\000033.png,data\P01\P01_semi_reflective_typing_133514\rgb_cam1_90\000033.png,data\P01\P01_semi_reflective_typing_133514\rgb_cam2_30\000033.png,data\P01\P01_semi_reflective_typing_133514\rgb_cam3_60\000033.png,data\P01\P01_semi_reflective_typing_133514\rgb_depth_cam\000033.png
P01,P01_semi_reflective_typing_133514,000034,45,semi_reflective,False,Left,,data\P01\P01_semi_reflective_typing_133514\depth_cam1_90\000034.png,data\P01\P01_semi_reflective_typing_133514\depth_cam2_30\000034.png,data\P01\P01_semi_reflective_typing_133514\depth_cam3_60\000034.png,data\P01\P01_semi_reflective_typing_133514\depth\000034.png,data\P01\P01_semi_reflective_typing_133514\rgb_cam1_90\000034.png,data\P01\P01_semi_reflective_typing_133514\rgb_cam2_30\000034.png,data\P01\P01_semi_reflective_typing_133514\rgb_cam3_60\000034.png,data\P01\P01_semi_reflective_typing_133514\rgb_depth_cam\000034.png
P01,P01_semi_reflective_typing_133514,000034,45,semi_reflective,True,Right,5,data\P01\P01_semi_reflective_typing_133514\depth_cam1_90\000034.png,data\P01\P01_semi_reflective_typing_133514\depth_cam2_30\000034.png,data\P01\P01_semi_reflective_typing_133514\depth_cam3_60\000034.png,data\P01\P01_semi_reflective_typing_133514\depth\000034.png,data\P01\P01_semi_reflective_typing_133514\rgb_cam1_90\000034.png,data\P01\P01_semi_reflective_typing_133514\rgb_cam2_30\000034.png,data\P01\P01_semi_reflective_typing_133514\rgb_cam3_60\000034.png,data\P01\P01_semi_reflective_typing_133514\rgb_depth_cam\000034.png
P01,P01_semi_reflective_typing_133514,000035,45,semi_reflective,False,Left,,data\P01\P01_semi_reflective_typing_133514\depth_cam1_90\000035.png,data\P01\P01_semi_reflective_typing_133514\depth_cam2_30\000035.png,data\P01\P01_semi_reflective_typing_133514\depth_cam3_60\000035.png,data\P01\P01_semi_reflective_typing_133514\depth\000035.png,data\P01\P01_semi_reflective_typing_133514\rgb_cam1_90\000035.png,data\P01\P01_semi_reflective_typing_133514\rgb_cam2_30\000035.png,data\P01\P01_semi_reflective_typing_133514\rgb_cam3_60\000035.png,data\P01\P01_semi_reflective_typing_133514\rgb_depth_cam\000035.png
P01,P01_semi_reflective_typing_133514,000035,45,semi_reflective,True,Right,,data\P01\P01_semi_reflective_typing_133514\depth_cam1_90\000035.png,data\P01\P01_semi_reflective_typing_133514\depth_cam2_30\000035.png,data\P01\P01_semi_reflective_typing_133514\depth_cam3_60\000035.png,data\P01\P01_semi_reflective_typing_133514\depth\000035.png,data\P01\P01_semi_reflective_typing_133514\rgb_cam1_90\000035.png,data\P01\P01_semi_reflective_typing_133514\rgb_cam2_30\000035.png,data\P01\P01_semi_reflective_typing_133514\rgb_cam3_60\000035.png,data\P01\P01_semi_reflective_typing_133514\rgb_depth_cam\000035.png
P01,P01_semi_reflective_typing_133514,000036,45,semi_reflective,False,Left,,data\P01\P01_semi_reflective_typing_133514\depth_cam1_90\000036.png,data\P01\P01_semi_reflective_typing_133514\depth_cam2_30\000036.png,data\P01\P01_semi_reflective_typing_133514\depth_cam3_60\000036.png,data\P01\P01_semi_reflective_typing_133514\depth\000036.png,data\P01\P01_semi_reflective_typing_133514\rgb_cam1_90\000036.png,data\P01\P01_semi_reflective_typing_133514\rgb_cam2_30\000036.png,data\P01\P01_semi_reflective_typing_133514\rgb_cam3_60\000036.png,data\P01\P01_semi_reflective_typing_133514\rgb_depth_cam\000036.png
P01,P01_semi_reflective_typing_133514,000036,45,semi_reflective,True,Right,5,data\P01\P01_semi_reflective_typing_133514\depth_cam1_90\000036.png,data\P01\P01_semi_reflective_typing_133514\depth_cam2_30\000036.png,data\P01\P01_semi_reflective_typing_133514\depth_cam3_60\000036.png,data\P01\P01_semi_reflective_typing_133514\depth\000036.png,data\P01\P01_semi_reflective_typing_133514\rgb_cam1_90\000036.png,data\P01\P01_semi_reflective_typing_133514\rgb_cam2_30\000036.png,data\P01\P01_semi_reflective_typing_133514\rgb_cam3_60\000036.png,data\P01\P01_semi_reflective_typing_133514\rgb_depth_cam\000036.png
P01,P01_semi_reflective_typing_133514,000037,45,semi_reflective,True,Right,t,data\P01\P01_semi_reflective_typing_133514\depth_cam1_90\000037.png,data\P01\P01_semi_reflective_typing_133514\depth_cam2_30\000037.png,data\P01\P01_semi_reflective_typing_133514\depth_cam3_60\000037.png,data\P01\P01_semi_reflective_typing_133514\depth\000037.png,data\P01\P01_semi_reflective_typing_133514\rgb_cam1_90\000037.png,data\P01\P01_semi_reflective_typing_133514\rgb_cam2_30\000037.png,data\P01\P01_semi_reflective_typing_133514\rgb_cam3_60\000037.png,data\P01\P01_semi_reflective_typing_133514\rgb_depth_cam\000037.png
P01,P01_semi_reflective_typing_133514,000037,45,semi_reflective,False,Left,,data\P01\P01_semi_reflective_typing_133514\depth_cam1_90\000037.png,data\P01\P01_semi_reflective_typing_133514\depth_cam2_30\000037.png,data\P01\P01_semi_reflective_typing_133514\depth_cam3_60\000037.png,data\P01\P01_semi_reflective_typing_133514\depth\000037.png,data\P01\P01_semi_reflective_typing_133514\rgb_cam1_90\000037.png,data\P01\P01_semi_reflective_typing_133514\rgb_cam2_30\000037.png,data\P01\P01_semi_reflective_typing_133514\rgb_cam3_60\000037.png,data\P01\P01_semi_reflective_typing_133514\rgb_depth_cam\000037.png
P01,P01_semi_reflective_typing_133514,000038,45,semi_reflective,True,Right,5,data\P01\P01_semi_reflective_typing_133514\depth_cam1_90\000038.png,data\P01\P01_semi_reflective_typing_133514\depth_cam2_30\000038.png,data\P01\P01_semi_reflective_typing_133514\depth_cam3_60\000038.png,data\P01\P01_semi_reflective_typing_133514\depth\000038.png,data\P01\P01_semi_reflective_typing_133514\rgb_cam1_90\000038.png,data\P01\P01_semi_reflective_typing_133514\rgb_cam2_30\000038.png,data\P01\P01_semi_reflective_typing_133514\rgb_cam3_60\000038.png,data\P01\P01_semi_reflective_typing_133514\rgb_depth_cam\000038.png
P01,P01_semi_reflective_typing_133514,000038,45,semi_reflective,False,Left,,data\P01\P01_semi_reflective_typing_133514\depth_cam1_90\000038.png,data\P01\P01_semi_reflective_typing_133514\depth_cam2_30\000038.png,data\P01\P01_semi_reflective_typing_133514\depth_cam3_60\000038.png,data\P01\P01_semi_reflective_typing_133514\depth\000038.png,data\P01\P01_semi_reflective_typing_133514\rgb_cam1_90\000038.png,data\P01\P01_semi_reflective_typing_133514\rgb_cam2_30\000038.png,data\P01\P01_semi_reflective_typing_133514\rgb_cam3_60\000038.png,data\P01\P01_semi_reflective_typing_133514\rgb_depth_cam\000038.png
P01,P01_semi_reflective_typing_133514,000039,45,semi_reflective,True,Right,t,data\P01\P01_semi_reflective_typing_133514\depth_cam1_90\000039.png,data\P01\P01_semi_reflective_typing_133514\depth_cam2_30\000039.png,data\P01\P01_semi_reflective_typing_133514\depth_cam3_60\000039.png,data\P01\P01_semi_reflective_typing_133514\depth\000039.png,data\P01\P01_semi_reflective_typing_133514\rgb_cam1_90\000039.png,data\P01\P01_semi_reflective_typing_133514\rgb_cam2_30\000039.png,data\P01\P01_semi_reflective_typing_133514\rgb_cam3_60\000039.png,data\P01\P01_semi_reflective_typing_133514\rgb_depth_cam\000039.png
P01,P01_semi_reflective_typing_133514,000039,45,semi_reflective,True,Left,y,data\P01\P01_semi_reflective_typing_133514\depth_cam1_90\000039.png,data\P01\P01_semi_reflective_typing_133514\depth_cam2_30\000039.png,data\P01\P01_semi_reflective_typing_133514\depth_cam3_60\000039.png,data\P01\P01_semi_reflective_typing_133514\depth\000039.png,data\P01\P01_semi_reflective_typing_133514\rgb_cam1_90\000039.png,data\P01\P01_semi_reflective_typing_133514\rgb_cam2_30\000039.png,data\P01\P01_semi_reflective_typing_133514\rgb_cam3_60\000039.png,data\P01\P01_semi_reflective_typing_133514\rgb_depth_cam\000039.png
P01,P01_semi_reflective_typing_133514,000040,45,semi_reflective,True,Left,,data\P01\P01_semi_reflective_typing_133514\depth_cam1_90\000040.png,data\P01\P01_semi_reflective_typing_133514\depth_cam2_30\000040.png,data\P01\P01_semi_reflective_typing_133514\depth_cam3_60\000040.png,data\P01\P01_semi_reflective_typing_133514\depth\000040.png,data\P01\P01_semi_reflective_typing_133514\rgb_cam1_90\000040.png,data\P01\P01_semi_reflective_typing_133514\rgb_cam2_30\000040.png,data\P01\P01_semi_reflective_typing_133514\rgb_cam3_60\000040.png,data\P01\P01_semi_reflective_typing_133514\rgb_depth_cam\000040.png
P01,P01_semi_reflective_typing_133514,000040,45,semi_reflective,True,Right,4,data\P01\P01_semi_reflective_typing_133514\depth_cam1_90\000040.png,data\P01\P01_semi_reflective_typing_133514\depth_cam2_30\000040.png,data\P01\P01_semi_reflective_typing_133514\depth_cam3_60\000040.png,data\P01\P01_semi_reflective_typing_133514\depth\000040.png,data\P01\P01_semi_reflective_typing_133514\rgb_cam1_90\000040.png,data\P01\P01_semi_reflective_typing_133514\rgb_cam2_30\000040.png,data\P01\P01_semi_reflective_typing_133514\rgb_cam3_60\000040.png,data\P01\P01_semi_reflective_typing_133514\rgb_depth_cam\000040.png
P01,P01_semi_reflective_typing_133514,000042,45,semi_reflective,True,Right,4,data\P01\P01_semi_reflective_typing_133514\depth_cam1_90\000042.png,data\P01\P01_semi_reflective_typing_133514\depth_cam2_30\000042.png,data\P01\P01_semi_reflective_typing_133514\depth_cam3_60\000042.png,data\P01\P01_semi_reflective_typing_133514\depth\000042.png,data\P01\P01_semi_reflective_typing_133514\rgb_cam1_90\000042.png,data\P01\P01_semi_reflective_typing_133514\rgb_cam2_30\000042.png,data\P01\P01_semi_reflective_typing_133514\rgb_cam3_60\000042.png,data\P01\P01_semi_reflective_typing_133514\rgb_depth_cam\000042.png
P01,P01_semi_reflective_typing_133514,000042,45,semi_reflective,True,Left,,data\P01\P01_semi_reflective_typing_133514\depth_cam1_90\000042.png,data\P01\P01_semi_reflective_typing_133514\depth_cam2_30\000042.png,data\P01\P01_semi_reflective_typing_133514\depth_cam3_60\000042.png,data\P01\P01_semi_reflective_typing_133514\depth\000042.png,data\P01\P01_semi_reflective_typing_133514\rgb_cam1_90\000042.png,data\P01\P01_semi_reflective_typing_133514\rgb_cam2_30\000042.png,data\P01\P01_semi_reflective_typing_133514\rgb_cam3_60\000042.png,data\P01\P01_semi_reflective_typing_133514\rgb_depth_cam\000042.png
P01,P01_semi_reflective_typing_133514,000043,45,semi_reflective,False,Right,,data\P01\P01_semi_reflective_typing_133514\depth_cam1_90\000043.png,data\P01\P01_semi_reflective_typing_133514\depth_cam2_30\000043.png,data\P01\P01_semi_reflective_typing_133514\depth_cam3_60\000043.png,data\P01\P01_semi_reflective_typing_133514\depth\000043.png,data\P01\P01_semi_reflective_typing_133514\rgb_cam1_90\000043.png,data\P01\P01_semi_reflective_typing_133514\rgb_cam2_30\000043.png,data\P01\P01_semi_reflective_typing_133514\rgb_cam3_60\000043.png,data\P01\P01_semi_reflective_typing_133514\rgb_depth_cam\000043.png
P01,P01_semi_reflective_typing_133514,000043,45,semi_reflective,True,Left,6,data\P01\P01_semi_reflective_typing_133514\depth_cam1_90\000043.png,data\P01\P01_semi_reflective_typing_133514\depth_cam2_30\000043.png,data\P01\P01_semi_reflective_typing_133514\depth_cam3_60\000043.png,data\P01\P01_semi_reflective_typing_133514\depth\000043.png,data\P01\P01_semi_reflective_typing_133514\rgb_cam1_90\000043.png,data\P01\P01_semi_reflective_typing_133514\rgb_cam2_30\000043.png,data\P01\P01_semi_reflective_typing_133514\rgb_cam3_60\000043.png,data\P01\P01_semi_reflective_typing_133514\rgb_depth_cam\000043.png
P01,P01_semi_reflective_typing_133514,000044,45,semi_reflective,True,Left,,data\P01\P01_semi_reflective_typing_133514\depth_cam1_90\000044.png,data\P01\P01_semi_reflective_typing_133514\depth_cam2_30\000044.png,data\P01\P01_semi_reflective_typing_133514\depth_cam3_60\000044.png,data\P01\P01_semi_reflective_typing_133514\depth\000044.png,data\P01\P01_semi_reflective_typing_133514\rgb_cam1_90\000044.png,data\P01\P01_semi_reflective_typing_133514\rgb_cam2_30\000044.png,data\P01\P01_semi_reflective_typing_133514\rgb_cam3_60\000044.png,data\P01\P01_semi_reflective_typing_133514\rgb_depth_cam\000044.png
P01,P01_semi_reflective_typing_133514,000045,45,semi_reflective,True,Left,y,data\P01\P01_semi_reflective_typing_133514\depth_cam1_90\000045.png,data\P01\P01_semi_reflective_typing_133514\depth_cam2_30\000045.png,data\P01\P01_semi_reflective_typing_133514\depth_cam3_60\000045.png,data\P01\P01_semi_reflective_typing_133514\depth\000045.png,data\P01\P01_semi_reflective_typing_133514\rgb_cam1_90\000045.png,data\P01\P01_semi_reflective_typing_133514\rgb_cam2_30\000045.png,data\P01\P01_semi_reflective_typing_133514\rgb_cam3_60\000045.png,data\P01\P01_semi_reflective_typing_133514\rgb_depth_cam\000045.png
P01,P01_semi_reflective_typing_133514,000045,45,semi_reflective,False,Right,,data\P01\P01_semi_reflective_typing_133514\depth_cam1_90\000045.png,data\P01\P01_semi_reflective_typing_133514\depth_cam2_30\000045.png,data\P01\P01_semi_reflective_typing_133514\depth_cam3_60\000045.png,data\P01\P01_semi_reflective_typing_133514\depth\000045.png,data\P01\P01_semi_reflective_typing_133514\rgb_cam1_90\000045.png,data\P01\P01_semi_reflective_typing_133514\rgb_cam2_30\000045.png,data\P01\P01_semi_reflective_typing_133514\rgb_cam3_60\000045.png,data\P01\P01_semi_reflective_typing_133514\rgb_depth_cam\000045.png
P01,P01_semi_reflective_typing_133514,000046,45,semi_reflective,False,Right,,data\P01\P01_semi_reflective_typing_133514\depth_cam1_90\000046.png,data\P01\P01_semi_reflective_typing_133514\depth_cam2_30\000046.png,data\P01\P01_semi_reflective_typing_133514\depth_cam3_60\000046.png,data\P01\P01_semi_reflective_typing_133514\depth\000046.png,data\P01\P01_semi_reflective_typing_133514\rgb_cam1_90\000046.png,data\P01\P01_semi_reflective_typing_133514\rgb_cam2_30\000046.png,data\P01\P01_semi_reflective_typing_133514\rgb_cam3_60\000046.png,data\P01\P01_semi_reflective_typing_133514\rgb_depth_cam\000046.png
